id,X,input,output,out_i,rules
0,0,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,0,1000100020101000_010_000000
0,1,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,-4,1000100020101000_010_000000
0,2,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,3,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,4,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,5,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,6,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,7,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,8,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,9,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,10,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,11,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,12,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,13,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,14,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,15,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,16,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,17,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,18,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
0,19,0_-4_2_7_15,0_-4_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2_2,2,1000100020101000_010_000000
1,0,0_-4_2_7_15,0_-4_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7,0,1000101010001001_010_000000
1,1,0_-4_2_7_15,0_-4_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7_7,-4,1000101010001001_010_000000
